Date,Open,High,Low,Close
16/10/2020,6.5375,6.575,6.53,6.5725
19/10/2020,6.53,6.565,6.5175,6.5075
20/10/2020,6.4625,6.51,6.4625,6.48
21/10/2020,6.465,6.48,6.465,6.45625
22/10/2020,6.43,6.4525,6.42,6.4325
23/10/2020,6.475,6.4775,6.4475,6.4575
26/10/2020,6.4025,6.47394,6.4,6.3375
27/10/2020,6.3825,6.3825,6.3825,6.395
28/10/2020,6.2875,6.2875,6.2625,6.21625
29/10/2020,6.205,6.2075,6.145,6.14875
30/10/2020,6.13,6.165,6.11,6.1625
02/11/2020,6.1675,6.2625,6.165,6.25875
03/11/2020,6.3025,6.3875,6.3025,6.39
04/11/2020,6.37,6.4425,6.3325,6.425
05/11/2020,6.37,6.4275,6.37,6.415
06/11/2020,6.435,6.4516,6.385,6.44125
09/11/2020,6.4325,6.6575,6.4325,6.51625
10/11/2020,6.395,6.4925,6.395,6.5
11/11/2020,6.5525,6.5925,6.5225,6.58875
12/11/2020,6.5375,6.5725,6.5375,6.56875
13/11/2020,6.61,6.61,6.58,6.595
16/11/2020,6.71,6.78,6.675,6.6925
17/11/2020,6.6625,6.695,6.6625,6.70625
18/11/2020,6.625,6.7075,6.625,6.68875
19/11/2020,6.59,6.59,6.57,6.57
20/11/2020,6.595,6.625,6.58,6.5925
23/11/2020,6.6,6.6,6.57,6.53875
24/11/2020,6.6,6.625,6.585,6.60875
25/11/2020,6.6475,6.6475,6.5975,6.6225
26/11/2020,6.615,6.615,6.605,6.6025
27/11/2020,6.615,6.615,6.595,6.60375
30/11/2020,6.565,6.5675,6.55,6.5375
01/12/2020,6.645,6.6525,6.635,6.6375
02/12/2020,6.6525,6.6575,6.6175,6.6225
03/12/2020,6.605,6.6175,6.6025,6.615
04/12/2020,6.6425,6.6425,6.6275,6.62375
07/12/2020,6.7,6.7,6.62,6.615
08/12/2020,6.64,6.655,6.6244,6.68375
09/12/2020,6.7,6.7,6.65,6.65875
10/12/2020,6.67,6.6825,6.6475,6.64125
11/12/2020,6.62,6.6325,6.59,6.62375
14/12/2020,6.6825,6.7025,6.67,6.6625
15/12/2020,6.6475,6.66,6.6475,6.63375
16/12/2020,6.65,6.6775,6.645,6.64875
17/12/2020,6.68,6.68,6.6675,6.6725
18/12/2020,6.6625,6.695,6.6575,6.6625
21/12/2020,6.5875,6.64568,6.5725,6.59
22/12/2020,6.625,6.63,6.595,6.61125
23/12/2020,6.61,6.6125,6.5775,6.59375
24/12/2020,6.6375,6.6375,6.6375,6.61
29/12/2020,6.6925,6.7225,6.6925,6.7075
30/12/2020,6.68,6.6875,6.68,6.68375
31/12/2020,6.665,6.6675,6.65,6.66125
04/01/2021,6.7525,6.7625,6.625,6.625
05/01/2021,6.64,6.65,6.615,6.61375
06/01/2021,6.68,6.68,6.65,6.675
07/01/2021,6.6725,6.6725,6.5975,6.63
08/01/2021,6.67,6.67,6.6,6.60125
11/01/2021,6.6175,6.6575,6.6175,6.63125
12/01/2021,6.595,6.6,6.58,6.57125
13/01/2021,6.5725,6.6025,6.55785,6.59125
14/01/2021,6.6025,6.6025,6.56,6.55875
15/01/2021,6.535,6.5475,6.5,6.5325
18/01/2021,6.5275,6.535,6.52,6.53125
19/01/2021,6.55,6.56,6.5075,6.5
20/01/2021,6.4875,6.51,6.455,6.47125
21/01/2021,6.5125,6.5125,6.4825,6.48875
22/01/2021,6.4675,6.4875,6.465,6.47375
25/01/2021,6.435,6.5425,6.435,6.505
26/01/2021,6.52,6.5575,6.52,6.55125
27/01/2021,6.56,6.63,6.5125,6.56875
28/01/2021,6.4575,6.545,6.4575,6.5475
29/01/2021,6.4575,6.49,6.4064,6.41875
01/02/2021,6.41,6.41,6.355,6.385
02/02/2021,6.405,6.4575,6.38,6.4425
03/02/2021,6.4075,6.4175,6.39,6.42125
04/02/2021,6.4225,6.4675,6.4175,6.455
05/02/2021,6.4725,6.535,6.4725,6.53
08/02/2021,6.5475,6.55,6.535,6.5375
09/02/2021,6.555,6.575,6.55,6.54875
10/02/2021,6.575,6.59,6.5325,6.5575
11/02/2021,6.5475,6.555,6.5325,6.54
12/02/2021,6.4975,6.515,6.4975,6.50375
15/02/2021,6.55,6.565,6.5425,6.555
16/02/2021,6.5475,6.5475,6.4925,6.49875
17/02/2021,6.525,6.5425,6.4925,6.53375
18/02/2021,6.5375,6.5375,6.4825,6.525
19/02/2021,6.5175,6.535,6.5175,6.50875
22/02/2021,6.42,6.445,6.42,6.44
23/02/2021,6.4825,6.515,6.455,6.47375
